airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,additiona_info,price
IndiGo,2019-06-01,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,No Info,4804
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No info,No Info,14151
Multiple carriers,2019-06-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,No Info,13587
Air India,2019-04-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,No Info,5228
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,No Info,5704
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,In-flight meal not included,4995
IndiGo,2019-05-18,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,No Info,12198
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No info,No Info,14151
Jet Airways,2019-03-03,Delhi,Cochin,23:05:00,18:50:00,1185,1.0,No info,No Info,18253
IndiGo,2019-05-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,No Info,2754
Multiple carriers,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,No Info,14533
Jet Airways,2019-04-01,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,In-flight meal not included,6077
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,In-flight meal not included,10844
Air India,2019-03-21,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No info,No Info,7642
Air Asia,2019-04-15,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,No Info,4409
Jet Airways,2019-03-09,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,No info,No Info,14861
Air India,2019-05-15,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,No Info,13039
Multiple carriers,2019-06-03,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No info,No Info,7530
Multiple carriers,2019-06-12,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,No Info,7198
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,23:00:00,900,1.0,No info,No Info,16736
SpiceJet,2019-04-09,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,No Info,5351
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No info,No Info,14571
Multiple carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,No Info,13377
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,In-flight meal not included,10262
Air India,2019-05-06,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No info,No Info,6117
Air India,2019-05-09,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,No Info,11542
IndiGo,2019-05-24,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,No Info,3342
IndiGo,2019-03-03,Delhi,Cochin,08:25:00,21:00:00,755,1.0,No info,No Info,14871
IndiGo,2019-06-12,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,No Info,5775
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,In-flight meal not included,9663
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No info,No Info,17501
Jet Airways,2019-05-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,In-flight meal not included,4544
Jet Airways,2019-06-15,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,In-flight meal not included,10262
IndiGo,2019-06-12,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,No Info,5298
Multiple carriers,2019-04-09,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,No Info,7363
IndiGo,2019-04-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,No Info,4823
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,18:50:00,1250,1.0,No info,No Info,12242
IndiGo,2019-06-09,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,No Info,11465
Multiple carriers,2019-06-03,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No info,No Info,9001
Air India,2019-06-06,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,No Info,11447
Air India,2019-03-18,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No info,No Info,11728
Air India,2019-06-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,No Info,6961
SpiceJet,2019-04-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,No Info,3971
Multiple carriers,2019-06-12,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,No Info,12192
GoAir,2019-06-12,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,No Info,5842
Air India,2019-04-01,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No info,No Info,4227
Multiple carriers,2019-05-27,Delhi,Cochin,10:00:00,01:30:00,930,1.0,In-flight meal not included,In-flight meal not included,8925
SpiceJet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,No check-in baggage included,3573
SpiceJet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,No check-in baggage included,3919
Air India,2019-05-18,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No info,No Info,8879
Multiple carriers,2019-05-21,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No info,No Info,7485
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No info,No Info,14714
Vistara,2019-06-01,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,No Info,4878
Multiple carriers,2019-06-06,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No info,No Info,9646
SpiceJet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No info,No Info,2017
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,In-flight meal not included,10262
Jet Airways,2019-05-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,In-flight meal not included,6144
SpiceJet,2019-03-06,Delhi,Cochin,15:55:00,21:55:00,360,1.0,No info,No Info,9748
IndiGo,2019-05-18,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,No Info,3943
Multiple carriers,2019-06-24,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No info,No Info,13377
Jet Airways,2019-04-09,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,No Info,7229
Jet Airways,2019-04-21,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,In-flight meal not included,4544
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,In-flight meal not included,10262
GoAir,2019-05-21,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No info,No Info,6633
Vistara,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,No Info,11982
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,04:25:00,1380,2.0,No info,No Info,16914
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,660,1.0,No info,No Info,15554
Multiple carriers,2019-03-03,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,No Info,17057
Air India,2019-06-12,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,No Info,10231
IndiGo,2019-04-21,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,No Info,4804
IndiGo,2019-04-15,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,No Info,3943
Air India,2019-03-03,Banglore,New Delhi,08:15:00,23:10:00,895,1.0,No info,No Info,6781
SpiceJet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,No check-in baggage included,1965
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,In-flight meal not included,8586
Vistara,2019-03-03,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No info,No Info,8028
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No info,No Info,16946
SpiceJet,2019-03-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,No Info,7718
IndiGo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No info,No Info,8574
IndiGo,2019-03-15,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No info,No Info,5694
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,In-flight meal not included,12373
Jet Airways,2019-03-24,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,In-flight meal not included,In-flight meal not included,8147
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,22:35:00,1660,1.0,In-flight meal not included,In-flight meal not included,7064
SpiceJet,2019-03-27,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No info,No Info,1759
Air India,2019-06-06,Kolkata,Banglore,08:20:00,07:55:00,1415,2.0,No info,No Info,10697
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,No Info,7074
IndiGo,2019-06-01,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,No Info,3597
Multiple carriers,2019-06-06,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No info,No Info,7198
SpiceJet,2019-05-18,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,No check-in baggage included,3919
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,In-flight meal not included,10262
Multiple carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No info,No Info,6513
Air India,2019-05-09,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No info,No Info,10703
Multiple carriers,2019-06-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,No Info,13587
Air India,2019-05-27,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,No Info,13381
Vistara,2019-05-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,No Info,4878
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,22:35:00,1610,1.0,No info,No Info,13759
Jet Airways,2019-04-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,No Info,7229
IndiGo,2019-06-12,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,No Info,5684
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No info,No Info,9187
SpiceJet,2019-04-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,No Info,3873
Multiple carriers,2019-06-09,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No info,No Info,6723
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No info,No Info,8452
IndiGo,2019-05-27,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,No Info,5224
Jet Airways,2019-04-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,In-flight meal not included,5198
IndiGo,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,No Info,6104
Air India,2019-06-06,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No info,No Info,11753
Air India,2019-06-03,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No info,No Info,12488
Air India,2019-04-09,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No info,No Info,8577
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,In-flight meal not included,10368
IndiGo,2019-06-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,No Info,4823
Air India,2019-06-06,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,No Info,9626
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No info,No Info,13067
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,In-flight meal not included,9663
IndiGo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No info,No Info,5894
IndiGo,2019-05-03,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,No Info,4823
IndiGo,2019-03-24,Banglore,New Delhi,08:30:00,11:30:00,180,0.0,No info,No Info,7303
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,In-flight meal not included,In-flight meal not included,10539
Air India,2019-03-18,Banglore,New Delhi,10:30:00,17:45:00,435,2.0,No info,No Info,13261
IndiGo,2019-05-01,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No info,No Info,4804
Air India,2019-06-01,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No info,No Info,8372
GoAir,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No info,No Info,3898
Air India,2019-06-24,Delhi,Cochin,13:15:00,07:40:00,1105,2.0,No info,No Info,12497
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,In-flight meal not included,In-flight meal not included,9314
Multiple carriers,2019-03-21,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No info,No Info,8098
Air India,2019-05-01,Kolkata,Banglore,09:10:00,21:50:00,760,2.0,No info,No Info,12009
IndiGo,2019-04-01,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,In-flight meal not included,10577
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,In-flight meal not included,12373
Multiple carriers,2019-06-12,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,No Info,7005
SpiceJet,2019-04-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,No Info,3873
IndiGo,2019-03-03,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No info,No Info,4784
IndiGo,2019-06-24,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,No Info,6442
IndiGo,2019-06-01,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No info,No Info,6442
IndiGo,2019-06-01,Mumbai,Hyderabad,09:15:00,10:45:00,90,0.0,No info,No Info,4049
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,In-flight meal not included,10972
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,In-flight meal not included,12898
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,In-flight meal not included,9663
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,No Info,8016
IndiGo,2019-05-03,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,No Info,2437
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,In-flight meal not included,10262
Air India,2019-03-03,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No info,No Info,27282
Air India,2019-03-06,Mumbai,Hyderabad,21:10:00,16:55:00,255,2.0,No info,No Info,17327
SpiceJet,2019-04-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,No check-in baggage included,4319
Multiple carriers,2019-06-27,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No info,No Info,13587
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No info,No Info,14781
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,11:25:00,1280,1.0,In-flight meal not included,In-flight meal not included,13712
IndiGo,2019-04-24,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,No Info,5013
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No info,No Info,13067
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,In-flight meal not included,12373
Jet Airways,2019-06-24,Delhi,Cochin,17:35:00,19:00:00,1525,2.0,No info,No Info,13922
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No info,No Info,8610
Air India,2019-04-01,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No info,No Info,11516
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No info,No Info,12284
SpiceJet,2019-06-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No info,No Info,2753
IndiGo,2019-03-03,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No info,No Info,11600
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,No Info,14714
IndiGo,2019-03-24,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No info,No Info,4777
Multiple carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No info,No Info,14343
Jet Airways,2019-04-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,No Info,7229
Multiple carriers,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,No Info,12192
Jet Airways,2019-04-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,No Info,7229
Multiple carriers,2019-05-21,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No info,No Info,7888
Multiple carriers,2019-06-24,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No info,No Info,10678
IndiGo,2019-03-15,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No info,No Info,8855
IndiGo,2019-04-01,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,No Info,3943
Multiple carriers,2019-05-15,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No info,No Info,9794
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,In-flight meal not included,8586
Multiple carriers,2019-06-24,Delhi,Cochin,17:45:00,01:30:00,465,1.0,In-flight meal not included,In-flight meal not included,5797
IndiGo,2019-06-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,No Info,3419
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,No Info,4842
Air India,2019-03-03,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,No Info,16352
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No info,No Info,12219
IndiGo,2019-05-21,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,No Info,3597
Air India,2019-04-01,Kolkata,Banglore,16:45:00,12:00:00,1155,2.0,No info,No Info,9920
IndiGo,2019-06-27,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No info,No Info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,No info,No Info,14388
Air India,2019-06-15,Delhi,Cochin,20:00:00,19:15:00,1395,2.0,No info,No Info,11071
SpiceJet,2019-06-06,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No info,No Info,4649
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No info,No Info,14714
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,23:25:00,390,1.0,In-flight meal not included,In-flight meal not included,11134
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,In-flight meal not included,10262
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,No Info,8610
Multiple carriers,2019-03-27,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No info,No Info,6148
Multiple carriers,2019-06-01,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,No Info,8937
IndiGo,2019-05-06,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,No Info,5224
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,In-flight meal not included,12898
IndiGo,2019-06-06,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,No Info,11160
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No info,No Info,15129
SpiceJet,2019-05-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,No check-in baggage included,3841
Air India,2019-05-27,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,No Info,4667
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,In-flight meal not included,9732
Air Asia,2019-03-01,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,No Info,10715
IndiGo,2019-03-06,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No info,No Info,14871
Air India,2019-03-12,Banglore,New Delhi,08:50:00,16:20:00,1890,2.0,No info,No Info,12778
IndiGo,2019-03-18,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No info,No Info,2227
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,04:25:00,2045,2.0,No info,No Info,13082
IndiGo,2019-06-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,No Info,5000
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,In-flight meal not included,10262
Air India,2019-05-15,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No info,No Info,8366
Jet Airways,2019-05-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,No Info,7229
Air India,2019-06-24,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No info,No Info,7174
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No info,No Info,18371
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,In-flight meal not included,8586
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No info,No Info,9397
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,In-flight meal not included,10539
IndiGo,2019-05-18,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No info,No Info,2754
Vistara,2019-04-09,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No info,No Info,5586
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No info,No Info,14151
SpiceJet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,No Info,3625
Air Asia,2019-04-27,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No info,No Info,6451
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,In-flight meal not included,In-flight meal not included,8529
IndiGo,2019-05-09,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,No Info,4077
Air India,2019-04-24,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,No Info,4145
IndiGo,2019-05-24,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,No Info,7503
SpiceJet,2019-06-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No info,No Info,3597
Air India,2019-06-09,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No info,No Info,8366
SpiceJet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No info,No Info,3873
Multiple carriers,2019-05-15,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,No Info,8266
Jet Airways,2019-06-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,In-flight meal not included,4995
GoAir,2019-06-01,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,No Info,3898
IndiGo,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,No Info,6206
IndiGo,2019-06-24,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,No Info,4049
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,In-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,No Info,10975
Multiple carriers,2019-03-06,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No info,No Info,17267
Air Asia,2019-03-06,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,No Info,4384
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,In-flight meal not included,10262
Air India,2019-03-01,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No info,No Info,25703
Multiple carriers,2019-06-06,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No info,No Info,7198
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,In-flight meal not included,9663
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,No info,No Info,25735
IndiGo,2019-03-24,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No info,No Info,7303
IndiGo,2019-06-03,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No info,No Info,5883
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,In-flight meal not included,10577
Multiple carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,No Info,8510
IndiGo,2019-06-18,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,No Info,4804
IndiGo,2019-06-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,No Info,4049
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No info,No Info,13941
SpiceJet,2019-04-12,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,No Info,5621
IndiGo,2019-03-03,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No info,No Info,11873
Air Asia,2019-04-27,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,No Info,4409
Vistara,2019-05-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,No Info,4878
Air India,2019-03-27,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,No Info,5117
Air Asia,2019-05-27,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,No Info,3383
SpiceJet,2019-06-21,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,No check-in baggage included,3543
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No info,No Info,7450
SpiceJet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,No check-in baggage included,3257
Multiple carriers,2019-03-06,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No info,No Info,21483
IndiGo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No info,No Info,16000
IndiGo,2019-05-21,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,No Info,7006
IndiGo,2019-06-18,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,No Info,3943
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,In-flight meal not included,10262
GoAir,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,No Info,3419
Air India,2019-03-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,No Info,4307
Air India,2019-03-03,Banglore,New Delhi,09:30:00,23:45:00,855,1.0,No info,No Info,11654
Multiple carriers,2019-05-21,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,No Info,10197
